name,price,last_volume,last_price,mean_price,mean_volume,abs_vol
SCAR-20 | Assault (Field-Tested),0.6966741293532338,52577,0.7316512347216153,0.28218056055826873,-0.2375302202174438,0.2375302202174438
StatTrak™ SSG 08 | Blood in the Water (Minimal Wear),741.2600714285715,182,0.06170078017827085,0.11194374795741677,-0.2147479884175092,0.2147479884175092
StatTrak™ G3SG1 | Dream Glade (Well-Worn),1.8144650817236259,19953,-0.05133007670792531,-0.05133007670792531,-0.133269623387342,0.133269623387342
G3SG1 | Jungle Dashed (Minimal Wear),0.045866600790513835,214328,-0.4646036237635501,0.00534297217004855,0.039176909216341045,0.039176909216341045
SCAR-20 | Army Sheen (Minimal Wear),10.775186813186812,3468,0.94448818226203,0.589549046160073,-0.3129962549707568,0.3129962549707568
AWP | Chromatic Aberration (Minimal Wear),52.6582112244898,40101,-0.6495646425965624,-0.6495646425965624,0.2569664294893897,0.2569664294893897
SCAR-20 | Crimson Web (Minimal Wear),25.103280205655526,1917,0.6537591595644723,0.3543736214772869,-0.27589516056463215,0.27589516056463215
G3SG1 | Black Sand (Factory New),6.290895721925134,1522,0.2412981694439694,0.24241895297660218,-0.17542915034813233,0.17542915034813233
SCAR-20 | Palm (Minimal Wear),79.24344303797469,254,0.07182962471036168,0.5570170062422726,0.04785051753782645,0.04785051753782645
Souvenir G3SG1 | VariCamo (Battle-Scarred),149.063,2,-0.13715884424292127,0.32793188638598925,-0.14771834918893742,0.14771834918893742
SSG 08 | Lichen Dashed (Battle-Scarred),6.57150847457627,830,-0.49847681277130834,0.8435918905405764,0.0632080153523715,0.0632080153523715
StatTrak™ G3SG1 | The Executioner (Minimal Wear),216.9353333333334,30,-0.10123303493811968,-0.0044208039785685405,0.4051157764081493,0.4051157764081493
StatTrak™ SSG 08 | Fever Dream (Minimal Wear),15.706115734720417,14218,0.1272082886757273,-0.008419412410635652,-0.02365573450949986,0.02365573450949986
Souvenir AWP | Acheron (Factory New),198.3027415730337,264,-0.27424614070526326,-0.16498734223134384,0.9708818416764112,0.9708818416764112
Souvenir SSG 08 | Detour (Field-Tested),16.727864150943397,4144,0.042046155117325366,-0.08692959000799944,0.4653139491070133,0.4653139491070133
StatTrak™ SSG 08 | Bloodshot (Battle-Scarred),76.31507645259938,647,0.5494235494982811,0.3208306167404244,-0.10847893024730332,0.10847893024730332
AWP | Neo-Noir (Factory New),158.81253642384107,20529,-0.11127685959549621,-0.06163128473140976,0.039966372274820555,0.039966372274820555
SCAR-20 | Cyrex (Minimal Wear),221.2021590909091,1075,0.1516199185889264,0.41836616646856917,-0.3232515996101469,0.3232515996101469
SSG 08 | Spring Twilly (Well-Worn),4.820466367713005,3141,1.6047471364547108,2.1945760198778492,-0.6911384249217776,0.6911384249217776
